关于,about,内容的主题。,The subject matter of the content.,"CommunicateAction, CreativeWork, Event",Thing
评论者,reviewedBy,为确保准确性和/或完整性，已审查了此网页上的内容的人员或组织。,People or organizations that have reviewed the content on this web page for accuracy and/or completeness.,WebPage,"Organization, Person"
评论,reviews,该项目的审查。,Review of the item.,"CreativeWork, Offer, Organization, Place, Product",Review
风险因素,riskFactor,可改变或不可改变的因素，增加患者患此病的风险，例如年龄，并存状况。,"A modifiable or non-modifiable factor that increases the risk of a patient contracting this condition, e.g. age,  coexisting condition.",MedicalCondition,MedicalRiskFactor
风险,risks,与饮食计划有关的特定生理风险。,Specific physiologic risks associated to the diet plan.,Diet,Text
角色名称,roleName,个人或组织扮演，执行或扮演的角色例如，一本漫画书的创作者团队可能会扮演名为“ inker”，“ penciller”和“ letterer”的角色；否则SportsTeam中的运动员可能会在名为“ Quarterback”的位置进行比赛。,"A role played, performed or filled by a person or organization. For example, the team of creators for a comic book might fill the roles named 'inker', 'penciller', and 'letterer'; or an athlete in a SportsTeam might play in the position named 'Quarterback'.",Role,"Text, URL"
屋顶荷载,roofLoad,车辆顶部允许的货物和设施（例如行李架）的总重量。典型单位代码：KGM表示千克，LBR表示称重注1：您可以在QuantitativeValue节点的名称中指示其他信息。 2：您也可以使用valueReference链接到提供其他信息的QualitativeValue节点。注3：请注意，可以使用minValue和maxValue指示范围。,"The permitted total weight of cargo and installations (e.g. a roof rack) on top of the vehicle.Typical unit code(s): KGM for kilogram, LBR for poundNote 1: You can indicate additional information in the name of the QuantitativeValue node.Note 2: You may also link to a QualitativeValue node that provides additional information using valueReferenceNote 3: Note that you can use minValue and maxValue to indicate ranges.","BusOrCoach, Car",QuantitativeValue
rsvp回应,rsvpResponse,对RSVP的响应（是，否，也许）。,"The response (yes, no, maybe) to the RSVP.",RsvpAction,RsvpResponseType
跑到,runsTo,淋巴结构延伸到或流出的脉管系统。,"The vasculature the lymphatic structure runs, or efferents, to.",LymphaticVessel,Vessel
运行,runtime,运行时平台或脚本解释器依赖性（示例-Java v1，Python2.3，.Net Framework 3.0）。,"Runtime platform or script interpreter dependencies (Example - Java v1, Python2.3, .Net Framework 3.0).",SoftwareSourceCode,Text
运行平台,runtimePlatform,运行时平台或脚本解释器依赖性（示例-Java v1，Python2.3，.Net Framework 3.0）。,"Runtime platform or script interpreter dependencies (Example - Java v1, Python2.3, .Net Framework 3.0).",SoftwareSourceCode,Text
rxcui,rxcui,RXNORM的RxCUI药品标识符。,The RxCUI drug identifier from RXNORM.,Drug,Text
安全考虑,safetyConsideration,与补品有关的任何潜在的安全隐患。可能包括与其他药物和食物的相互作用，怀孕，母乳喂养，已知的不良反应以及补充剂的疗效证明。,"Any potential safety concern associated with the supplement. May include interactions with other drugs and foods, pregnancy, breastfeeding, known adverse reactions, and documented efficacy of the supplement.",DietarySupplement,Text
工资货币,salaryCurrency,用于此职位过帐中或该员工的主要薪资信息的货币（使用ISO 4217编码）。,The currency (coded using ISO 4217 ) used for the main salary information in this job posting or for this employee.,"EmployeeRole, JobPosting",Text
完成时的工资,salaryUponCompletion,完成培训后的期望薪水。,The expected salary upon completing the training.,EducationalOccupationalProgram,MonetaryAmountDistribution
和...一样,sameAs,明确指示商品标识的参考网页的URL。例如。项目的Wikipedia页面，Wikidata条目或官方网站的URL。,"URL of a reference Web page that unambiguously indicates the item's identity. E.g. the URL of the item's Wikipedia page, Wikidata entry, or official website.",Thing,URL
样本类型,sampleType,什么类型的代码示例：完整（可编译）解决方案，代码段，内联代码，脚本，模板。,"What type of code sample: full (compile ready) solution, code snippet, inline code, scripts, template.",SoftwareSourceCode,Text
饱和脂肪含量,saturatedFatContent,饱和脂肪的克数。,The number of grams of saturated fat.,NutritionInformation,Mass
安排时区,scheduleTimezone,指示给出时间表中指定时间的时区。提供的值应在IANA时区数据库中列出的值中。,Indicates the timezone for which the time(s) indicated in the Schedule are given. The value provided should be among those listed in the IANA Time Zone Database.,Schedule,Text
预定的付款日期,scheduledPaymentDate,发票预定支付的日期。,The date the invoice is scheduled to be paid.,Invoice,Date
计划的时间,scheduledTime,对象的预定时间。,The time the object is scheduled to.,PlanAction,DateTime
模式版本,schemaVersion,（通过URL或字符串）指示某些CreativeWork中使用的架构的特定版本。例如，如果某些应用程序需要精确指示架构版本，则文档可以使用URL（例如version / 2.0 /）声明schemaVersion。,"Indicates (by URL or string) a particular version of a schema used in some CreativeWork. For example, a document could declare a schemaVersion using an URL such as version/2.0/ if precise indication of schema version was required by some application.",CreativeWork,"Text, URL"
学校停课信息,schoolClosuresInfo,有关停课的信息。,Information about school closures.,SpecialAnnouncement,"URL, WebContent"
屏幕计数,screenCount,电影院中的屏幕数。,The number of screens in the movie theater.,MovieTheater,Number
屏幕截图,screenshot,指向应用程序屏幕截图图像的链接。,A link to a screenshot image of the app.,SoftwareApplication,"ImageObject, URL"
sd发布日期,sdDatePublished,指示生成/发布当前结构化数据的日期。通常与sdPublisher一起使用,Indicates the date on which the current structured data was generated / published. Typically used alongside sdPublisher,CreativeWork,Date
SD许可证,sdLicense,适用于此结构化数据的许可文档，通常由URL指示。,"A license document that applies to this structured data, typically indicated by URL.",CreativeWork,"CreativeWork, URL"
sd发布者,sdPublisher,表示负责生成和发布当前结构化数据标记的一方，通常是在结构化数据是从现有已发布内容自动派生而又发布在其他站点的情况下。例如，学生项目和开放数据计划经常使用结构更明确的元数据重新发布现有内容。 ThesdPublisher属性有助于使这种做法更加明确。,"Indicates the party responsible for generating and publishing the current structured data markup, typically in cases where the structured data is derived automatically from existing published content but published on a different site. For example, student projects and open data initiatives often re-publish existing content with more explicitly structured metadata. ThesdPublisher property helps make such practices more explicit.",CreativeWork,"Organization, Person"
季,season,媒体系列的一个季。,A season in a media series.,"RadioSeries, TVSeries, VideoGameSeries","CreativeWorkSeason, URL"
季编号,seasonNumber,季在一组有序的季节中的位置。,Position of the season within an ordered group of seasons.,CreativeWorkSeason,"Integer, Text"
季,seasons,媒体系列的一个季。,A season in a media series.,"RadioSeries, TVSeries, VideoGameSeries",CreativeWorkSeason
座位号,seatNumber,预留座位的位置（例如27个）。,"The location of the reserved seat (e.g., 27).",Seat,Text
座位排,seatRow,预留席位的行位置（例如B）。,"The row location of the reserved seat (e.g., B).",Seat,Text
座位区,seatSection,预留座位（例如乐队）的分区位置。,The section location of the reserved seat (e.g. Orchestra).,Seat,Text
座位数,seatingCapacity,无论是在可用的物理空间还是在法律规定的限制方面，可以坐下的人数（例如，在车辆中）典型单位代码：C62,"The number of persons that can be seated (e.g. in a vehicle), both in terms of the physical space available, and in terms of limitations set by law.Typical unit code(s): C62 for persons",Vehicle,"Number, QuantitativeValue"
座位类型,seatingType,座位的类型/类别。,The type/class of the seat.,Seat,"QualitativeValue, Text"
二级预防,secondaryPrevention,一种预防性疗法，用于防止疾病最初发作后再次发生。,A preventative therapy used to prevent reoccurrence of the medical condition after an initial episode of the condition.,MedicalCondition,MedicalTherapy
安全清除要求,securityClearanceRequirement,对作业的任何安全检查要求的描述。,A description of any security clearance requirements of the job.,JobPosting,"Text, URL"
安全检查,securityScreening,乘客接受的安全检查的类型。,The type of security screening the passenger is subject to.,FlightReservation,Text
寻求,seeks,指向组织或个人寻求的产品或服务的指针（需求）。,A pointer to products or services sought by the organization or person (demand).,"Organization, Person",Demand
卖方,seller,提供（出售/租赁/借出/借出）服务/商品的实体。卖方也可以是提供者。,An entity which offers (sells / leases / lends / loans) the services / goods.  A seller may also be a provider.,"BuyAction, Demand, Flight, Offer, Order","Organization, Person"
发件人,sender,参与者的子属性。动作发送端的参与者。,A sub property of participant. The participant who is at the sending end of the action.,"Message, ReceiveAction","Audience, Organization, Person"
感官要求,sensoryRequirement,对工作所需的任何感官要求和水平的描述，包括听力和视觉。可以使用诸如O * net中的已定义术语，但是请注意，使用已定义术语时，无法指定能力级别及其性质。,"A description of any sensory requirements and levels necessary to function on the job, including hearing and vision. Defined terms such as those in O*net may be used, but note that there is no way to specify the level of ability as well as its nature when using a defined term.",JobPosting,"DefinedTerm, Text, URL"
感官单元,sensoryUnit,输入和发送信息到大脑或脊髓的神经系统途径扩展。,The neurological pathway extension that inputs and sends information to the brain or spinal cord.,Nerve,"AnatomicalStructure, SuperficialAnatomy"
序列号,serialNumber,特定产品的序列号或任何字母数字标识符。当附加到要约时，它是要约中包含的产品序列号的快捷方式。,"The serial number or any alphanumeric identifier of a particular product. When attached to an offer, it is a shortcut for the serial number of the product included in the offer.","Demand, IndividualProduct, Offer",Text
严重不良后果,seriousAdverseOutcome,该疗法可能引起的严重并发症和/或严重副作用。严重的不良后果包括危及生命的后果；导致死亡，伤残或永久损坏；需要住院或延长现有住院时间；导致先天性异常或出生缺陷；或危害患者，可能需要进行医学或手术干预以防止此定义中的结果之一。,"A possible serious complication and/or serious side effect of this therapy. Serious adverse outcomes include those that are life-threatening; result in death, disability, or permanent damage; require hospitalization or prolong existing hospitalization; cause congenital anomalies or birth defects; or jeopardize the patient and may require medical or surgical intervention to prevent one of the outcomes in this definition.","MedicalDevice, MedicalTherapy",MedicalEntity
服务器状态,serverStatus,游戏服务器的状态。,Status of a game server.,GameServer,GameServerStatus
提供美食,servesCuisine,餐厅的美食。,The cuisine of the restaurant.,FoodEstablishment,Text
服务区,serviceArea,提供服务的地理区域。,The geographic area where the service is provided.,"ContactPoint, Organization, Service","AdministrativeArea, GeoShape, Place"
服务对象,serviceAudience,有资格使用此服务的受众。,The audience eligible for this service.,Service,Audience
服务地点,serviceLocation,一个人可以访问该服务的位置（例如，公民结构，当地企业等）。,"The location (e.g. civic structure, local business, etc.) where a person can go to access the service.",ServiceChannel,Place
服务运营商,serviceOperator,运营组织（如果与提供者不同）。 这样就可以表示组织提供的服务，但可以由另一个组织（如分包商）运营。,"The operating organization, if different from the provider.  This enables the representation of services that are provided by an organization, but operated by another organization like a subcontractor.",GovernmentService,Organization
服务输出,serviceOutput,服务产生的有形事物，例如 护照，许可证等,"The tangible thing generated by the service, e.g. a passport, permit, etc.",Service,Thing
服务电话,servicePhone,用于访问服务的电话号码。,The phone number to use to access the service.,ServiceChannel,ContactPoint
服务邮政地址,servicePostalAddress,通过邮件访问服务的地址。,The address for accessing the service by mail.,ServiceChannel,PostalAddress
服务短信号码,serviceSmsNumber,通过短信访问服务的号码。,The number to access the service by text message.,ServiceChannel,ContactPoint
服务类型,serviceType,提供的服务类型，例如 退伍军人的福利，紧急救济等,"The type of service being offered, e.g. veterans' benefits, emergency relief, etc.",Service,"GovernmentBenefitsType, Text"
服务网址,serviceUrl,访问服务的网站。,The website to access the service.,ServiceChannel,URL
份量,servingSize,份量，以体积或质量数表示。,"The serving size, in terms of the number of volume or mass.",NutritionInformation,Text
共享内容,sharedContent,在此发布中共享的CreativeWork，例如图像，视频或音频剪辑。,"A CreativeWork such as an image, video, or audio clip shared as part of this posting.",SocialMediaPosting,CreativeWork
运送目的地,shippingDestination,指示（可能有多个）运输目的地。 这些可以通过几种方式定义，例如 postalCode范围。,indicates (possibly multiple) shipping destinations. These can be defined in several ways e.g. postalCode ranges.,"DeliveryTimeSettings, OfferShippingDetails, ShippingRateSettings",DefinedRegion
送货细节,shippingDetails,指示有关与要约相关的送货政策和选项的信息。,Indicates information about the shipping policies and options associated with an Offer.,Offer,OfferShippingDetails
运输标签,shippingLabel,标签，以将OfferShippingDetails与ShippingRateSettings匹配（在shippingSettingsLink交叉引用的上下文中）。,Label to match an OfferShippingDetails with a ShippingRateSettings (within the context of a shippingSettingsLink cross-reference).,"OfferShippingDetails, ShippingRateSettings",Text
运费,shippingRate,运费是运送到指定目的地的费用。 通常，maxValue和货币值（MonetaryAmount的值）最合适。,"The shipping rate is the cost of shipping to the specified destination. Typically, the maxValue and currency values (of the MonetaryAmount) are most appropriate.","OfferShippingDetails, ShippingRateSettings",MonetaryAmount
送货设置链接,shippingSettingsLink,链接到包含ShippingRateSettings和DeliveryTimeSettings详细信息的页面。,Link to a page containing ShippingRateSettings and DeliveryTimeSettings details.,OfferShippingDetails,URL
兄弟姐妹,sibling,一个人的兄弟姐妹。,A sibling of the person.,Person,Person
兄弟姐妹,siblings,一个人的兄弟姐妹。,A sibling of the person.,Person,Person
检测到标志,signDetected,测试检测到的迹象。,A sign detected by the test.,MedicalTest,MedicalSign
征兆或症状,signOrSymptom,这种情况的迹象或症状。 迹象是医学状况的客观或身体可观察的表现，而症状是医学状况的主观经验。,A sign or symptom of this condition. Signs are objective or physically observable manifestations of the medical condition while symptoms are the subjective experience of the medical condition.,MedicalCondition,MedicalSignOrSymptom
意义,significance,与浅层解剖相关的意义； 例如，浅层解剖结构的特征如何暗示潜在的医学状况或治疗过程。,"The significance associated with the superficial anatomy; as an example, how characteristics of the superficial anatomy can suggest underlying medical conditions or courses of treatment.",SuperficialAnatomy,Text
重要链接,significantLink,页面上更重要的URL之一。 通常，这些是点击次数最多的非导航链接。,"One of the more significant URLs on the page. Typically, these are the non-navigation links that are clicked on the most.",WebPage,URL
重要链接,significantLinks,页面上最重要的URL。 通常，这些是点击次数最多的非导航链接。,"The most significant URLs on the page. Typically, these are the non-navigation links that are clicked on the most.",WebPage,URL
技能,skills,知识，技能，能力，任务或任何其他主张的陈述，表达履行或担任此职务所需或要求的能力。,"A statement of knowledge, skill, ability, task or any other assertion expressing a competency that is desired or required to fulfill this role or to work in this occupation.","JobPosting, Occupation","DefinedTerm, Text"
库存单位,sku,库存单位（SKU），即产品或服务或要价所指产品的特定于商家的标识符。,"The Stock Keeping Unit (SKU), i.e. a merchant-specific identifier for a product or service, or the product to which the offer refers.","Demand, Offer, Product",Text
口号,slogan,与项目相关的口号或座右铭。,A slogan or motto associated with the item.,"Brand, Organization, Place, Product, Service",Text
允许吸烟,smokingAllowed,指示是否允许在该场所吸烟，例如 在餐厅，旅馆或旅馆房间中。,"Indicates whether it is allowed to smoke in the place, e.g. in the restaurant, hotel or hotel room.",Place,Boolean
钠含量,sodiumContent,钠的毫克数。,The number of milligrams of sodium.,NutritionInformation,Mass
软件附加,softwareAddOn,软件应用程序的其他内容。,Additional content for a software application.,SoftwareApplication,SoftwareApplication
软件帮助,softwareHelp,软件应用程序帮助。,Software application help.,SoftwareApplication,CreativeWork
软件需求,softwareRequirements,应用程序的组件依赖性要求。这包括运行时环境和共享库，这些运行时环境和共享库未包含在应用程序分发包中，但它们是运行应用程序所必需的（示例：DirectX，Java或.NET运行时）。,"Component dependency requirements for application. This includes runtime environments and shared libraries that are not included in the application distribution package, but required to run the application (Examples: DirectX, Java or .NET runtime).",SoftwareApplication,"Text, URL"
软件版本,softwareVersion,软件实例的版本。,Version of the software instance.,SoftwareApplication,Text
来源组织,sourceOrganization,创建者代表其工作的组织。,The Organization on whose behalf the creator was working.,CreativeWork,Organization
源于,sourcedFrom,起源神经元的神经通路。,The neurological pathway that originates the neurons.,Nerve,BrainStructure
空间的,spatial,当不知道更具体的属性（例如locationCreated，spatialCoverage，contentLocation）合适时，可以使用“ spatial”属性。,"The ""spatial"" property can be used in cases when more specific properties(e.g. locationCreated, spatialCoverage, contentLocation) are not known to be appropriate.",CreativeWork,Place
空间覆盖,spatialCoverage,CreativeWork的spatialCoverage指示作为内容焦点的位置。它是contentLocation的子属性，主要用于获得更多技术和详细材料。例如，使用数据集，它指示数据集描述的区域：纽约天气的数据集将具有spaceCoverage，该空间为位置：纽约州。,"The spatialCoverage of a CreativeWork indicates the place(s) which are the focus of the content. It is a subproperty of      contentLocation intended primarily for more technical and detailed materials. For example with a Dataset, it indicates      areas that the dataset describes: a dataset of New York weather would have spatialCoverage which was the place: the state of New York.",CreativeWork,Place
可以说的,speakable,表示网页中特别突出的部分，即被突出显示为特别适用于文本到语音转换的部分。页面的其他部分在特定情况下也可能有用。 “ speakable”属性用于指示最有可能对语音有用的部分。“ speakable”属性可以重复任意次数，并具有三种可能的“ content-locator”值：1。）id-value URL引用-使用要注释的页面中元素的id值。可以说的最简单的用法是具有（可能是相对的）URL值，引用相关文档的已标识部分。2。CSS选择器-在带注释的页面中处理内容，例如。通过类属性。使用cssSelector属性。3.）XPaths-通过XPaths寻址内容（假定内容的XML视图）。使用xpath属性，除了简单的ID引用之外，对于可说出的部分的更复杂的标记，可以使用CSS选择器或XPath表达式来选择可说出的文档部分。为此，我们定义了一种支持类型SpeakableSpecification，它被定义为可发音属性的可能值。,"Indicates sections of a Web page that are particularly 'speakable' in the sense of being highlighted as being especially appropriate for text-to-speech conversion. Other sections of a page may also be usefully spoken in particular circumstances; the 'speakable' property serves to indicate the parts most likely to be generally useful for speech.The speakable property can be repeated an arbitrary number of times, with three kinds of possible 'content-locator' values:1.) id-value URL references - uses id-value of an element in the page being annotated. The simplest use of speakable has (potentially relative) URL values, referencing identified sections of the document concerned.2.) CSS Selectors - addresses content in the annotated page, eg. via class attribute. Use the cssSelector property.3.)  XPaths - addresses content via XPaths (assuming an XML view of the content). Use the xpath property.For more sophisticated markup of speakable sections beyond simple ID references, either CSS selectors or XPath expressions to pick out document section(s) as speakable. For thiswe define a supporting type, SpeakableSpecification  which is defined to be a possible value of the speakable property.","Article, WebPage","SpeakableSpecification, URL"
特别承诺,specialCommitments,与该职位发布相关的任何特殊承诺。有效条目包括VeteranCommit，MilitarySpouseCommit等。,"Any special commitments associated with this job posting. Valid entries include VeteranCommit, MilitarySpouseCommit, etc.",JobPosting,Text
特殊开放时间规范,specialOpeningHoursSpecification,某个特定地点的特殊开放时间，使用它来显式覆盖由openHoursSpecification或openHours带入范围的一般开放时间。,The special opening hours of a certain place.Use this to explicitly override general opening hours brought in scope by openingHoursSpecification or openingHours.,Place,OpeningHoursSpecification
专业,specialty,该网页内容所适用的领域专业之一。,One of the domain specialities to which this web page's content applies.,WebPage,Specialty
语音到文本标记,speechToTextMarkup,使用的标记形式。例如。 SSML或IPA。,Form of markup used. eg. SSML or IPA.,PronounceableText,Text
速度,speed,车辆的速度范围。如果车辆由发动机提供动力，则速度范围的上限（以maxValue表示应为常规条件下可达到的最大速度）。典型单位代码：KMH为km / h，HM为每小时英里（0.447 04 m / s），KNT为打结*注1：使用minValue和maxValue表示范围。通常，最小值为零。*注2：测量速度范围的方法有很多。可以链接到信息有关如何使用valueReference属性确定给定值的信息。,"The speed range of the vehicle. If the vehicle is powered by an engine, the upper limit of the speed range (indicated by maxValue should be the maximum speed achievable under regular conditions.Typical unit code(s): KMH for km/h, HM for mile per hour (0.447 04 m/s), KNT for knot*Note 1: Use minValue and maxValue to indicate the range. Typically, the minimal value is zero.* Note 2: There are many different ways of measuring the speed range. You can link to information about how the given value has been determined using the valueReference property.",Vehicle,QuantitativeValue
人物说话,spokenByCharacter,在包含的CreativeWork中引用该报价的（例如，虚构的）字符，人物或组织。,"The (e.g. fictional) character, Person or Organization to whom the quotation is attributed within the containing CreativeWork.",Quotation,"Organization, Person"
赞助,sponsor,通过认捐，承诺或财政捐助来支持事物的人或组织。例如医学研究的赞助商或活动的公司赞助商。,"A person or organization that supports a thing through a pledge, promise, or financial contribution. e.g. a sponsor of a Medical Study or a corporate sponsor of an event.","CreativeWork, Event, Grant, MedicalStudy, Organization, Person","Organization, Person"
运动,sport,一种运动（例如棒球）。,A type of sport (e.g. Baseball).,"SportsEvent, SportsOrganization","Text, URL"
体育活动地点,sportsActivityLocation,位置的子属性。发生此动作的体育活动位置。,A sub property of location. The sports activity location where this action occurred.,ExerciseAction,SportsActivityLocation
体育项目,sportsEvent,位置的子属性。发生此动作的体育赛事。,A sub property of location. The sports event where this action occurred.,ExerciseAction,SportsEvent
运动队,sportsTeam,参与者的子属性。参加这项运动的运动队。,A sub property of participant. The sports team that participated on this action.,ExerciseAction,SportsTeam
伴侣,spouse,该人的配偶。,The person's spouse.,Person,Person
阶段,stage,条件的阶段（如果适用）。,"The stage of the condition, if applicable.",MedicalCondition,MedicalConditionStage
阶段数,stageAsNumber,以数字表示的阶段，例如3。,"The stage represented as a number, e.g. 3.",MedicalConditionStage,Number
星级,starRating,旅馆业或食品店的官方评级，例如来自国家协会或标准机构。使用author属性指示评分单位，例如作为组织的名称，例如（HOTREC，DEHOGA，WHR或Hotelstars）。,"An official rating for a lodging business or food establishment, e.g. from national associations or standards bodies. Use the author property to indicate the rating organization, e.g. as an Organization with name such as (e.g. HOTREC, DEHOGA, WHR, or Hotelstars).","FoodEstablishment, LodgingBusiness",Rating
开始日期,startDate,项目的开始日期和时间（采用ISO 8601日期格式）。,The start date and time of the item (in ISO 8601 date format).,"CreativeWorkSeason, CreativeWorkSeries, DatedMoneySpecification, EducationalOccupationalProgram, Event, Role, Schedule","Date, DateTime"
开始偏移,startOffset,剪辑的开始时间表示为从工作开始起的秒数。,The start time of the clip expressed as the number of seconds from the beginning of the work.,Clip,Number
开始时间,startTime,某物的开始时间。对于保留的事件或服务（例如，Food EstablishmentmentReservation），预计将开始的时间。对于跨越一段时间的操作，执行操作的时间。例如约翰从一月到十二月写了一本书。对于包括音频和视频在内的媒体，它是一个较大文件中剪辑开始的时间偏移。请注意，即使使用时间描述日期，Event也使用startDate / endDate而不是startTime / endTime。在将来的修订版中可能会澄清这种情况。,"The startTime of something. For a reserved event or service (e.g. FoodEstablishmentReservation), the time that it is expected to start. For actions that span a period of time, when the action was performed. e.g. John wrote a book from January to December. For media, including audio and video, it's the time offset of the start of a clip within a larger file.Note that Event uses startDate/endDate instead of startTime/endTime, even when describing dates with times. This situation may be clarified in future revisions.","Action, FoodEstablishmentReservation, MediaObject, Schedule","DateTime, Time"
状态,status,研究状态（枚举）。,The status of the study (enumerated).,"MedicalCondition, MedicalProcedure, MedicalStudy","EventStatusType, MedicalStudyStatus, Text"
转向位置,steeringPosition,方向盘或类似设备（主要用于汽车）的位置。,The position of the steering wheel or similar device (mostly for cars).,Vehicle,SteeringPositionValue
步,step,单个步骤项（如HowToStep，文本，文档，视频等）或HowToSection。,"A single step item (as HowToStep, text, document, video, etc.) or a HowToSection.",HowTo,"CreativeWork, HowToSection, HowToStep, Text"
步长值,stepValue,stepValue属性指示PropertyValueSpecification中值的预期（和必需）粒度。,The stepValue attribute indicates the granularity that is expected (and required) of the value in a PropertyValueSpecification.,PropertyValueSpecification,Number
脚步,steps,单个步骤项（如HowToStep，文本，文档，视频等）或HowToSection（最初误命名为“步骤”；首选为“步骤”）。,"A single step item (as HowToStep, text, document, video, etc.) or a HowToSection (originally misnamed 'steps'; 'step' is preferred).","HowTo, HowToSection","CreativeWork, ItemList, Text"
储存要求,storageRequirements,存储要求（需要可用空间）。,Storage requirements (free space required).,SoftwareApplication,"Text, URL"
街道地址,streetAddress,街道地址。 例如，1600 Amphitheatre Pkwy。,"The street address. For example, 1600 Amphitheatre Pkwy.",PostalAddress,Text
力量单位,strengthUnit,活性成分强度的单位，例如 毫克,"The units of an active ingredient's strength, e.g. mg.",DrugStrength,Text
强度值,strengthValue,活性成分强度的值，例如 325。,"The value of an active ingredient's strength, e.g. 325.",DrugStrength,Number
结构类,structuralClass,骨骼之间如何物理连接的名称。,The name given to how bone physically connects to each other.,Joint,Text
研究,study,与该实体相关的医学研究或试验。,A medical study or trial related to this entity.,MedicalEntity,MedicalStudy
学习规划,studyDesign,有关观察性研究设计的细节（枚举）。,Specifics about the observational study design (enumerated).,MedicalObservationalStudy,MedicalObservationalStudyDesign
研究地点,studyLocation,研究进行/进行的位置。,The location in which the study is taking/took place.,MedicalStudy,AdministrativeArea
研究对象,studySubject,研究对象，即研究对象所研究的医学状况，疗法，设备，药物等之一。,"A subject of the study, i.e. one of the medical conditions, therapies, devices, drugs, etc. investigated by the study.",MedicalStudy,MedicalEntity
测试用属性,stupidProperty,仅用于测试。,This is a StupidProperty! - for testing only,"StupidType, Vehicle",QuantitativeValue
子事件,subEvent,属于此事件的事件。例如，会议事件包括许多演示，每个演示都是会议的子事件。,"An Event that is part of this event. For example, a conference event includes many presentations, each of which is a subEvent of the conference.",Event,Event
子事件,subEvents,属于此事件的事件。例如，会议事件包括许多演示，会议的每个子事件。,"Events that are a part of this event. For example, a conference event includes many presentations, each subEvents of the conference.",Event,Event
子组织,subOrganization,两个组织之间的关系，其中第一个包括第二个组织，例如作为子公司。另请参阅：更具体的“部门”属性。,"A relationship between two organizations where the first includes the second, e.g., as a subsidiary. See also: the more specific 'department' property.",Organization,Organization
子预订,subReservation,包装中包含单独的预订。通常是重复属性。,The individual reservations included in the package. Typically a repeated property.,ReservationPackage,Reservation
子阶段后缀,subStageSuffix,子阶段，例如IIIa阶段为“ a”。,"The substage, e.g. 'a' for Stage IIIa.",MedicalConditionStage,Text
子结构,subStructure,组成此解剖结构的（子）结构。,Component (sub-)structure(s) that comprise this anatomical structure.,AnatomicalStructure,AnatomicalStructure
子测验,subTest,面板的组件测试。,A component test of the panel.,MedicalTestPanel,MedicalTest
子行程,subTrip,标识属于此行程的子行程的行程。例如，多日行程的第1天，第2天等。,"Identifies a Trip that is a subTrip of this Trip.  For example Day 1, Day 2, etc. of a multi-day trip.",Trip,Trip
主题,subjectOf,关于此事的创造性工作或活动。,A CreativeWork or Event about this Thing.,Thing,"CreativeWork, Event"
字幕语言,subtitleLanguage,提供IETF BCP 47标准格式的字幕/字幕的语言。,"Languages in which subtitles/captions are available, in IETF BCP 47 standard format.","BroadcastEvent, Movie, ScreeningEvent, TVEpisode","Language, Text"
的继任者,successorOf,从产品的较新版本到先前（通常是已停产）的指针。,"A pointer from a newer variant of a product  to its previous, often discontinued predecessor.",ProductModel,ProductModel
糖含量,sugarContent,糖克数。,The number of grams of sugar.,NutritionInformation,Mass
建议答案,suggestedAnswer,问题的答案（可能是几个答案之一，可能是错误的）在问题/答案站点上。,"An answer (possibly one of several, possibly incorrect) to a Question, e.g. on a Question/Answer site.",Question,"Answer, ItemList"
建议的性别,suggestedGender,个人或听众的性别。,The gender of the person or audience.,PeopleAudience,Text
建议的最大年龄,suggestedMaxAge,建议观看内容的最大年龄。,Maximal age recommended for viewing content.,PeopleAudience,Number
建议的最低年龄,suggestedMinAge,建议最低年龄，以查看内容。,Minimal age recommended for viewing content.,PeopleAudience,Number
适合饮食,suitableForDiet,表示适合此食谱或菜单项的饮食限制或准则，例如糖尿病，清真等,"Indicates a dietary restriction or guideline for which this recipe or menu item is suitable, e.g. diabetic, halal etc.","MenuItem, Recipe",RestrictedDiet
超级赛事,superEvent,此事件所属的事件。例如，单个音乐表演的集合可能每个都有一个音乐节作为其SuperEvent。,"An event that this event is a part of. For example, a collection of individual music performances might each have a music festival as their superEvent.",Event,Event
被取代,supersededBy,将术语（即属性，类或枚举）与取代它的术语相关联。,"Relates a term (i.e. a property, class or enumeration) to one that supersedes it.","Class, Enumeration, Property","Class, Enumeration, Property"
供应,supply,仪器的子属性。执行指令或指示时消耗的耗材。,A sub-property of instrument. A supply consumed when performing instructions or a direction.,"HowTo, HowToDirection","HowToSupply, Text"
供应给,supplyTo,动脉供血的区域。,The area to which the artery supplies blood.,Artery,AnatomicalStructure
支持数据,supportingData,SoftwareApplication的支持数据。,Supporting data for a SoftwareApplication.,SoftwareApplication,DataFeed
表面,surface,在某些艺术品中用作表面的材料，例如帆布，纸张，木材，木板等,"A material used as a surface in some artwork, e.g. Canvas, Paper, Wood, Board, etc.",VisualArtwork,"Text, URL"
目标,target,指示操作的目标EntryPoint。,Indicates a target EntryPoint for an Action.,Action,EntryPoint
目标集合,targetCollection,对象的子属性。动作的收集目标。,A sub property of object. The collection target of the action.,UpdateAction,Thing
目标说明,targetDescription,在已建立的教育框架中对节点的描述。,The description of a node in an established educational framework.,AlignmentObject,Text
目标名称,targetName,已建立的教育框架中节点的名称。,The name of a node in an established educational framework.,AlignmentObject,Text
目标平台,targetPlatform,应用开发类型：电话，Metro风格，桌面，XBox等。,"Type of app development: phone, Metro style, desktop, XBox, etc.",APIReference,Text
